sample_id	observed_fraction	country	original_group_id	date_mean_bp
6DT18.SG	0.6572380065917969	UnitedKingdom	England_IA_Roman.SG	1750.0
6DT21.SG	0.6812807321548462	UnitedKingdom	England_IA_Roman.SG	1750.0
6DT22.SG	0.669748842716217	UnitedKingdom	England_IA_Roman.SG	1750.0
6DT23.SG	0.46975821256637573	UnitedKingdom	England_IA_Roman.SG	1750.0
6DT3.SG	0.8035900592803955	UnitedKingdom	England_IA_Roman.SG	1750.0
M1489.SG	0.39245814085006714	UnitedKingdom	England_IA_o.SG	2035.0
NO3423.SG	0.6338481307029724	UnitedKingdom	England_EarlyMedieval_Saxon.SG	1200.0
I0156.SG	0.5760758519172668	UnitedKingdom	England_IA_ERoman.SG	1981.0
I0157.SG	0.918995201587677	UnitedKingdom	England_EarlyMedieval_Saxon.SG	1227.0
I0159.SG	0.9042118787765503	UnitedKingdom	England_EarlyMedieval_Saxon.SG	1234.0
I0160.SG	0.9907737970352173	UnitedKingdom	England_IA.SG	1973.0
I0161.SG	0.5225241184234619	UnitedKingdom	England_EarlyMedieval_Saxon.SG	1157.0
I0769.SG	0.8054926991462708	UnitedKingdom	England_EarlyMedieval_Saxon.SG	1449.0
I0773.SG	0.7177605032920837	UnitedKingdom	England_EarlyMedieval_Saxon.SG	1479.0
I0774.SG	0.9587879180908203	UnitedKingdom	England_EarlyMedieval_Saxon.SG	1469.0
I0777.SG	0.9546266198158264	UnitedKingdom	England_EarlyMedieval_Saxon.SG	1465.0
I0789.SG	0.5238565802574158	UnitedKingdom	England_IA.SG	2163.0
Ajvide52.SG	0.05399943143129349	Sweden	Sweden_PWC.SG	4700.0
Ajvide58.SG	0.8420600891113281	Sweden	Sweden_PWC.SG	4700.0
Ajvide70.SG	0.09815306216478348	Sweden	Sweden_PWC.SG	4700.0
Gokhem2.SG	0.5848178267478943	Sweden	Sweden_MN_TRB.SG	4928.0
StoraForvar11.SG	0.07230580598115921	Sweden	Sweden_Mesolithic.SG	7365.0
EHU001.AG	0.45279327034950256	Spain	Spain_C_oSteppe.AG	4367.0
VAD001.AG	0.45279327034950256	Spain	Spain_EBA.AG	3641.0
VAD002.AG	0.45279327034950256	Spain	Spain_EBA.AG	3650.0
VAD003.AG	0.45279327034950256	Spain	Spain_EBA.AG	3650.0
VAD004.AG	0.45279327034950256	Spain	Spain_EBA.AG	3650.0
VAD005.AG	0.45279327034950256	Spain	Spain_EBA_oSteppe.AG	3590.0
I10372.AG	0.6647383570671082	Italy	Italy_Sicily_LBA.AG	3198.0
I10373.AG	0.644402801990509	Italy	Italy_Sicily_LBA_son.I3878.AG	3200.0
I4064.AG	0.6669248342514038	Italy	Italy_Sicily_MN.AG	6718.0
I10379.AG	0.6499777436256409	NorthMacedonia	NorthMacedonia_IA.AG	2591.0
I10381.AG	0.22191007435321808	NorthMacedonia	NorthMacedonia_IA.AG	2586.0
I10382.AG	0.07555151730775833	NorthMacedonia	NorthMacedonia_IA.AG	2550.0
I10383.AG	0.6638267636299133	NorthMacedonia	NorthMacedonia_IA.AG	2607.0
I10384.AG	0.6533921360969543	NorthMacedonia	NorthMacedonia_IA.AG	2550.0
I10385.AG	0.6816959977149963	NorthMacedonia	NorthMacedonia_IA.AG	2591.0
I10387.AG	0.4395841658115387	NorthMacedonia	NorthMacedonia_IA.AG	2550.0
I10388.AG	0.6719458699226379	NorthMacedonia	NorthMacedonia_IA.AG	2658.0
I10389.AG	0.15700970590114594	NorthMacedonia	NorthMacedonia_IA.AG	2550.0
I10390.AG	0.6768890619277954	NorthMacedonia	NorthMacedonia_Classical_Hellenistic.AG	2343.0
I10391.AG	0.6530093550682068	NorthMacedonia	NorthMacedonia_Classical_Hellenistic.AG	2250.0
I10392.AG	0.6682573556900024	NorthMacedonia	NorthMacedonia_Classical_Hellenistic_o.AG	2250.0
I10412.AG	0.605865478515625	Moldova	Moldova_MBA_MultiCordonedWare.AG	3900.0
I10420.AG	0.635152280330658	Moldova	Moldova_BA.AG	3950.0
I10421.AG	0.3554131090641022	Moldova	Moldova_BA.AG	3950.0
I10430.AG	0.6717317700386047	Turkey	Turkey_Marmara_Ilipinar_Byzantine3.AG	1218.0
I10436.AG	0.6460986137390137	Moldova	Moldova_MBA_MultiCordonedWare.AG	3860.0
